Date,Away,Away_Score,Away_3rdQ,Home,Home_Score,Home_3rdQ,Home_Team_Wins
1128,Denver Nuggets,81,57,Dallas Mavericks,92,73,1
1128,New Orleans Pelicans,87,60,Utah Jazz,101,76,1
1128,Los Angeles Lakers,96,76,Portland Trail Blazers,108,84,1
1128,Sacramento Kings,101,71,Golden State Warriors,120,92,1
1129,Milwaukee Bucks,82,59,Charlotte Hornets,87,65,1
1129,Minnesota Timberwolves,99,61,LA Clippers,107,71,1
1129,Phoenix Suns,107,81,Toronto Raptors,102,72,0
1129,Detroit Pistons,83,67,Brooklyn Nets,87,59,1
1129,Philadelphia 76ers,84,67,Memphis Grizzlies,92,64,1
1129,Boston Celtics,91,67,Orlando Magic,110,84,1
1129,Houston Rockets,116,69,New York Knicks,111,77,0
1129,Indiana Pacers,107,80,Los Angeles Lakers,103,65,0
1130,Boston Celtics,105,81,Miami Heat,95,75,0
1130,Houston Rockets,105,73,Detroit Pistons,116,84,1
1130,San Antonio Spurs,89,73,Chicago Bulls,92,70,1
1130,Denver Nuggets,74,60,Milwaukee Bucks,92,67,1
1130,Oklahoma City Thunder,100,74,Atlanta Hawks,106,79,1
1130,Golden State Warriors,106,83,Utah Jazz,103,77,0
1130,Dallas Mavericks,98,71,Sacramento Kings,112,76,1
1130,Portland Trail Blazers,87,64,LA Clippers,102,74,1
1201,Washington Wizards,97,80,Cleveland Cavaliers,85,67,0
1201,Los Angeles Lakers,91,75,Philadelphia 76ers,103,80,1
1201,Phoenix Suns,91,73,Brooklyn Nets,94,70,1
1201,Memphis Grizzlies,113,91,New Orleans Pelicans,104,85,0
1201,Orlando Magic,96,76,Minnesota Timberwolves,93,67,0
1201,Dallas Mavericks,115,74,Portland Trail Blazers,112,73,0
1202,Los Angeles Lakers,108,78,Washington Wizards,104,75,0
1202,Golden State Warriors,116,93,Charlotte Hornets,99,72,0
1202,Phoenix Suns,122,89,Detroit Pistons,127,80,1
1202,Philadelphia 76ers,87,58,New York Knicks,99,81,1
1202,Denver Nuggets,90,72,Chicago Bulls,99,68,1
1202,New Orleans Pelicans,101,82,Houston Rockets,108,84,1
1202,Toronto Raptors,96,57,Atlanta Hawks,86,66,0
1202,Milwaukee Bucks,70,55,San Antonio Spurs,95,76,1
1202,Indiana Pacers,103,72,LA Clippers,91,69,0
1203,Oklahoma City Thunder,95,76,Miami Heat,97,74,1
1203,Denver Nuggets,106,81,Toronto Raptors,105,71,0
1203,Orlando Magic,103,77,Utah Jazz,94,78,0
1203,San Antonio Spurs,103,74,Memphis Grizzlies,83,57,0
1203,Indiana Pacers,111,90,Portland Trail Blazers,123,97,1
1204,Brooklyn Nets,91,67,New York Knicks,108,92,1
1204,Phoenix Suns,106,85,Washington Wizards,109,78,1
1204,Milwaukee Bucks,95,59,Detroit Pistons,102,67,1
1204,Los Angeles Lakers,87,66,Atlanta Hawks,100,72,1
1204,Houston Rockets,100,78,Dallas Mavericks,96,78,0
1204,Cleveland Cavaliers,108,77,New Orleans Pelicans,114,84,1
1205,Denver Nuggets,108,77,Philadelphia 76ers,105,85,0
1205,Golden State Warriors,112,83,Toronto Raptors,109,79,0
1205,Cleveland Cavaliers,84,64,Miami Heat,99,83,1
1205,Portland Trail Blazers,109,80,Minnesota Timberwolves,103,82,0
1205,Sacramento Kings,113,85,Houston Rockets,120,84,1
1205,Charlotte Hornets,102,72,Chicago Bulls,96,75,0
1205,New York Knicks,91,69,Milwaukee Bucks,106,81,1
1205,Boston Celtics,105,71,San Antonio Spurs,108,86,1
1205,Indiana Pacers,119,84,Utah Jazz,122,84,1
1205,Orlando Magic,101,79,LA Clippers,103,74,1
1206,Phoenix Suns,93,68,Memphis Grizzlies,95,67,1
1206,Los Angeles Lakers,91,65,Detroit Pistons,111,90,1
1206,Golden State Warriors,114,87,Brooklyn Nets,98,80,0
1206,Dallas Mavericks,116,87,Washington Wizards,104,84,0
1206,Sacramento Kings,95,64,Oklahoma City Thunder,98,76,1
1207,Detroit Pistons,84,70,Charlotte Hornets,104,88,1
1207,San Antonio Spurs,119,96,Philadelphia 76ers,68,52,0
1207,Dallas Mavericks,104,88,New York Knicks,97,72,0
1207,Los Angeles Lakers,93,71,Toronto Raptors,102,71,1
1207,Washington Wizards,114,87,Miami Heat,103,84,0
1207,Boston Celtics,111,81,New Orleans Pelicans,93,67,0
1207,Phoenix Suns,103,61,Chicago Bulls,101,77,0
1207,Portland Trail Blazers,88,62,Milwaukee Bucks,90,60,1
1207,LA Clippers,110,71,Minnesota Timberwolves,106,77,0
1208,Golden State Warriors,131,111,Indiana Pacers,123,83,0
1208,Portland Trail Blazers,100,75,Cleveland Cavaliers,105,77,1
1208,Houston Rockets,105,72,Brooklyn Nets,110,80,1
1208,Oklahoma City Thunder,125,98,Memphis Grizzlies,88,63,0
1208,Orlando Magic,85,62,Denver Nuggets,74,63,0
1208,Utah Jazz,106,80,Sacramento Kings,114,86,1
1209,Miami Heat,81,54,Charlotte Hornets,99,80,1
1209,Chicago Bulls,100,75,Boston Celtics,105,75,1
1209,Houston Rockets,109,82,Washington Wizards,103,83,0
1209,San Antonio Spurs,94,62,Toronto Raptors,97,73,1
1209,Memphis Grizzlies,93,67,Detroit Pistons,92,74,0
1209,Los Angeles Lakers,122,81,Minnesota Timberwolves,123,84,1
1209,LA Clippers,109,75,Milwaukee Bucks,95,68,0
1209,Orlando Magic,104,73,Phoenix Suns,107,84,1
1209,New York Knicks,85,59,Utah Jazz,106,82,1
1209,Atlanta Hawks,98,76,Dallas Mavericks,95,72,0
1210,Philadelphia 76ers,91,74,Brooklyn Nets,100,70,1
1210,Atlanta Hawks,94,75,Oklahoma City Thunder,107,83,1
1210,LA Clippers,80,54,Chicago Bulls,83,64,1
1210,New York Knicks,97,65,Sacramento Kings,99,76,1
1211,Detroit Pistons,107,89,Philadelphia 76ers,95,66,0
1211,Miami Heat,83,68,Indiana Pacers,96,77,1
1211,Cleveland Cavaliers,111,83,Orlando Magic,76,52,0
1211,Golden State Warriors,124,82,Boston Celtics,119,75,0
1211,Milwaukee Bucks,83,60,Toronto Raptors,90,70,1
1211,Washington Wizards,105,77,New Orleans Pelicans,107,77,1
1211,Charlotte Hornets,123,93,Memphis Grizzlies,99,73,0
1211,Oklahoma City Thunder,94,72,Utah Jazz,90,67,0
1211,Minnesota Timberwolves,108,78,Denver Nuggets,111,73,1
1211,Los Angeles Lakers,87,71,San Antonio Spurs,109,79,1
1211,Portland Trail Blazers,106,78,Phoenix Suns,96,82,0
1212,LA Clippers,105,77,Brooklyn Nets,100,63,0
1212,Boston Celtics,98,73,Charlotte Hornets,93,69,0
1212,Indiana Pacers,96,79,Detroit Pistons,118,102,1
1212,Los Angeles Lakers,97,76,Houston Rockets,126,91,1
1212,San Antonio Spurs,103,79,Atlanta Hawks,78,55,0
1212,New Orleans Pelicans,94,70,Chicago Bulls,98,64,1
1212,Golden State Warriors,95,77,Milwaukee Bucks,108,80,1
1212,Washington Wizards,114,90,Dallas Mavericks,111,72,0
1212,New York Knicks,112,76,Portland Trail Blazers,110,86,0
1213,Minnesota Timberwolves,101,66,Phoenix Suns,108,85,1
1213,Memphis Grizzlies,97,78,Miami Heat,100,71,1
1213,Philadelphia 76ers,76,58,Toronto Raptors,96,69,1
1213,Utah Jazz,98,76,Oklahoma City Thunder,104,71,1
1214,Toronto Raptors,90,64,Indiana Pacers,106,73,1
1214,LA Clippers,105,73,Detroit Pistons,103,63,0
1214,Orlando Magic,105,83,Brooklyn Nets,82,69,0
1214,Philadelphia 76ers,96,68,Chicago Bulls,115,85,1
1214,Miami Heat,100,74,Atlanta Hawks,88,61,0
1214,Washington Wizards,95,61,Memphis Grizzlies,112,83,1
1214,Phoenix Suns,94,58,Dallas Mavericks,104,77,1
1214,Utah Jazz,81,58,San Antonio Spurs,118,98,1
1214,Houston Rockets,108,82,Denver Nuggets,114,88,1
1214,New Orleans Pelicans,101,69,Portland Trail Blazers,105,78,1
1215,Cleveland Cavaliers,89,69,Boston Celtics,77,61,0
1215,Denver Nuggets,112,92,Minnesota Timberwolves,100,80,0
1215,Houston Rockets,97,74,Sacramento Kings,107,82,1
1215,Milwaukee Bucks,95,66,Los Angeles Lakers,113,86,1
1216,Dallas Mavericks,81,64,Indiana Pacers,107,75,1
1216,Charlotte Hornets,98,73,Orlando Magic,113,89,1
1216,Minnesota Timberwolves,102,70,New York Knicks,107,78,1
1216,Miami Heat,104,84,Brooklyn Nets,98,78,0
1216,Boston Celtics,116,83,Detroit Pistons,119,85,1
1216,Philadelphia 76ers,106,76,Atlanta Hawks,127,102,1
1216,Portland Trail Blazers,90,67,Oklahoma City Thunder,106,88,1
1216,Memphis Grizzlies,85,66,Chicago Bulls,98,74,1
1216,Washington Wizards,95,71,San Antonio Spurs,114,86,1
1216,New Orleans Pelicans,104,73,Utah Jazz,94,79,0
1216,Milwaukee Bucks,90,66,LA Clippers,103,78,1
1216,Phoenix Suns,103,65,Golden State Warriors,128,105,1
1217,Toronto Raptors,99,65,Charlotte Hornets,109,77,1
1217,Oklahoma City Thunder,100,78,Cleveland Cavaliers,104,74,1
1217,Houston Rockets,107,78,Los Angeles Lakers,87,68,0
1218,Portland Trail Blazers,94,68,Orlando Magic,102,74,1
1218,Brooklyn Nets,97,77,Indiana Pacers,104,72,1
1218,New York Knicks,107,89,Philadelphia 76ers,97,68,0
1218,Atlanta Hawks,109,71,Boston Celtics,101,73,0
1218,Toronto Raptors,108,81,Miami Heat,94,77,0
1218,Detroit Pistons,147,74,Chicago Bulls,144,77,0
1218,Sacramento Kings,95,77,Minnesota Timberwolves,99,83,1
1218,LA Clippers,107,88,San Antonio Spurs,115,85,1
1218,Memphis Grizzlies,88,66,Dallas Mavericks,97,75,1
1218,Denver Nuggets,88,73,Utah Jazz,97,77,1
1218,New Orleans Pelicans,88,64,Phoenix Suns,104,77,1
1218,Milwaukee Bucks,112,93,Golden State Warriors,121,85,1
1219,Los Angeles Lakers,78,55,Oklahoma City Thunder,118,92,1
1219,Charlotte Hornets,101,75,Washington Wizards,109,86,1
1219,Chicago Bulls,91,68,New York Knicks,107,77,1
1219,Indiana Pacers,84,66,Memphis Grizzlies,96,70,1
1219,LA Clippers,97,71,Houston Rockets,107,83,1
1220,Minnesota Timberwolves,100,75,Brooklyn Nets,85,65,0
1220,Portland Trail Blazers,109,86,Miami Heat,116,82,1
1220,Philadelphia 76ers,86,60,Cleveland Cavaliers,108,88,1
1220,Milwaukee Bucks,101,70,Phoenix Suns,95,71,0
1220,Atlanta Hawks,103,77,Orlando Magic,100,78,0
1220,Sacramento Kings,104,78,Toronto Raptors,94,70,0
1220,New Orleans Pelicans,130,99,Denver Nuggets,125,96,0
1221,Sacramento Kings,99,84,Washington Wizards,113,84,1
1221,Minnesota Timberwolves,99,72,Boston Celtics,113,92,1
1221,Orlando Magic,107,78,New York Knicks,99,73,0
1221,Brooklyn Nets,105,85,Chicago Bulls,102,78,0
1221,Portland Trail Blazers,97,58,Atlanta Hawks,106,77,1
1221,Charlotte Hornets,95,60,Houston Rockets,102,69,1
1221,Indiana Pacers,92,70,San Antonio Spurs,106,79,1
1221,Phoenix Suns,89,61,Utah Jazz,110,79,1
1221,Oklahoma City Thunder,100,72,LA Clippers,99,77,0
1222,Memphis Grizzlies,104,77,Philadelphia 76ers,90,66,0
1222,Dallas Mavericks,99,67,Toronto Raptors,103,72,1
1222,Detroit Pistons,93,72,Miami Heat,92,75,0
1222,Los Angeles Lakers,111,83,Denver Nuggets,107,80,0
1223,New York Knicks,84,72,Cleveland Cavaliers,91,72,1
1223,Boston Celtics,102,74,Charlotte Hornets,89,62,0
1223,Houston Rockets,101,74,Orlando Magic,104,87,1
1223,Memphis Grizzlies,91,65,Washington Wizards,100,81,1
1223,Sacramento Kings,108,84,Indiana Pacers,106,82,0
1223,Dallas Mavericks,119,81,Brooklyn Nets,118,87,0
1223,San Antonio Spurs,108,77,Minnesota Timberwolves,83,61,0
1223,Portland Trail Blazers,89,65,New Orleans Pelicans,115,80,1
1223,Philadelphia 76ers,100,70,Milwaukee Bucks,113,92,1
1223,Detroit Pistons,100,67,Atlanta Hawks,107,82,1
1223,Denver Nuggets,104,79,Phoenix Suns,96,72,0
